time,weather,temperature,humidity,windDirection,windSpeed
2017-01-20 17:00,晴朗,2,18,南风,2级
2017-01-20 18:00,晴朗,1,17,南风,3级
2017-01-20 19:00,晴天,1,17,南风,4级
2017-01-20 20:00,晴天,0,17,南风,5级
2017-01-20 21:00,晴天,-2,17,南风,5级
2017-01-20 22:00,晴朗,-3,17,南风,6级
2017-01-20 23:00,晴朗,-4,18,南风,6级
2017-01-21 00:00,局部多云,-5,18,南风,6级
2017-01-21 01:00,晴天,-5,19,南风,7级
2017-01-21 02:00,局部多云,-5,19,南风,7级
2017-01-21 03:00,晴天,-5,19,南风,7级
2017-01-21 04:00,局部多云,-5,20,南风,8级
2017-01-21 05:00,晴朗,-5,20,南风,8级
2017-01-21 06:00,晴朗,-5,22,南风,8级
2017-01-21 07:00,晴朗,-4,23,西南风,7级
2017-01-21 08:00,晴朗,-4,25,西南风,7级
2017-01-21 09:00,晴朗,-2,23,西南风,7级
2017-01-21 10:00,晴朗,-1,21,西风,7级
2017-01-21 11:00,晴朗,0,19,西北风,7级
2017-01-21 12:00,晴朗,1,17,西南风,8级
2017-01-21 13:00,晴朗,1,16,东风,9级
2017-01-21 14:00,晴朗,2,15,北风,9级
2017-01-21 15:00,晴朗,1,16,北风,9级
2017-01-21 16:00,晴朗,1,17,北风,7级
2017-01-21 17:00,晴朗,0,19,北风,6级
2017-01-21 18:00,晴朗,-1,20,东北风,6级
2017-01-21 19:00,晴朗,-2,21,东北风,6级
2017-01-21 20:00,晴朗,-3,22,东北风,6级
2017-01-21 21:00,晴朗,-4,22,东北风,5级
2017-01-21 22:00,晴朗,-4,22,东风,5级
2017-01-21 23:00,晴朗,-4,22,东风,5级
2017-01-22 00:00,晴朗,-4,25,东北风,5级
2017-01-22 01:00,晴朗,-5,27,东北风,5级
2017-01-22 02:00,晴朗,-5,28,东北风,4级
2017-01-22 03:00,晴朗,-6,28,东北风,4级
2017-01-22 04:00,晴朗,-6,27,东北风,4级
2017-01-22 05:00,晴朗,-7,27,东北风,3级
2017-01-22 06:00,晴朗,-6,27,东风,4级
2017-01-22 07:00,晴朗,-6,26,东风,4级
2017-01-22 08:00,晴朗,-6,25,东风,4级
2017-01-22 09:00,晴朗,-4,22,东风,5级
2017-01-22 10:00,晴朗,-3,19,东风,5级
2017-01-22 11:00,晴朗,-2,16,东北风,6级
2017-01-22 12:00,晴朗,0,16,东北风,5级
2017-01-22 13:00,晴朗,1,15,东北风,4级
2017-01-22 14:00,晴天,2,15,东北风,3级
2017-01-22 15:00,晴朗,2,17,东北风,4级
2017-01-22 16:00,晴朗,2,18,东北风,4级
2017-01-22 17:00,晴朗,2,20,东北风,5级
2017-01-22 18:00,晴朗,1,21,东北风,5级
2017-01-22 19:00,晴朗,-1,22,东风,5级
2017-01-22 20:00,晴朗,-2,23,东风,5级
2017-01-22 21:00,晴朗,-3,24,东风,5级
